DATE,IPG3113N
2011-03-01,86.1335
2011-04-01,84.8809
2011-05-01,79.5307
2011-06-01,78.0918
2011-07-01,78.0551
2011-08-01,80.0460
2011-09-01,81.8201
2011-10-01,101.7469
2011-11-01,101.8160
2011-12-01,100.1950
2012-01-01,87.1530
2012-02-01,86.3652
2012-03-01,82.1032
2012-04-01,76.4728
2012-05-01,74.4181
2012-06-01,75.4694
2012-07-01,77.9936
2012-08-01,85.5773
2012-09-01,97.6574
2012-10-01,99.8675
2012-11-01,100.8003
2012-12-01,100.7764
2013-01-01,92.8489
2013-02-01,88.4444
2013-03-01,88.9596
2013-04-01,82.6390
2013-05-01,79.5933
2013-06-01,79.7108
2013-07-01,80.3504
2013-08-01,87.3886
2013-09-01,92.0476
2013-10-01,102.5614
2013-11-01,106.4893
2013-12-01,108.0843
2014-01-01,91.8221
2014-02-01,91.3606
2014-03-01,88.8589
2014-04-01,81.7398
2014-05-01,77.6142
2014-06-01,78.3120
2014-07-01,76.9918
2014-08-01,85.4195
2014-09-01,92.6979
2014-10-01,103.4177
2014-11-01,110.9391
2014-12-01,110.0463
2015-01-01,93.7183
2015-02-01,92.5262
2015-03-01,90.2869
2015-04-01,85.5492
2015-05-01,81.9169
2015-06-01,85.4599
2015-07-01,87.4176
2015-08-01,99.0636
2015-09-01,99.8239
2015-10-01,110.2747
2015-11-01,109.3003
2015-12-01,106.3806
2016-01-01,97.0845
2016-02-01,97.8823
2016-03-01,98.3514
2016-04-01,95.0180
2016-05-01,93.3329
2016-06-01,93.7790
2016-07-01,94.3197
2016-08-01,96.2598
2016-09-01,101.3600
2016-10-01,111.2936
2016-11-01,108.2221
2016-12-01,107.7016
2017-01-01,100.6168
2017-02-01,103.7016
2017-03-01,95.3707
2017-04-01,97.1333
2017-05-01,91.3770
2017-06-01,93.0478
2017-07-01,90.4570
2017-08-01,100.6918
2017-09-01,106.5645
2017-10-01,106.6768
2017-11-01,104.8813
2017-12-01,109.4814
2018-01-01,99.5552
2018-02-01,101.3342
2018-03-01,97.1693
2018-04-01,96.7356
2018-05-01,92.9164
2018-06-01,90.4160
2018-07-01,90.6298
2018-08-01,96.9854
2018-09-01,106.1213
2018-10-01,105.9470
2018-11-01,106.7965
2018-12-01,112.5134
2019-01-01,103.5330
2019-02-01,104.5199
2019-03-01,103.8798
2019-04-01,97.9744
2019-05-01,94.3307
2019-06-01,94.5633
2019-07-01,91.8082
2019-08-01,99.4010
2019-09-01,107.5340
2019-10-01,107.8665
2019-11-01,110.2605
2019-12-01,112.5942
2020-01-01,96.6461
2020-02-01,98.3549
2020-03-01,92.4525
2020-04-01,78.1803
2020-05-01,79.7221
2020-06-01,82.4073
2020-07-01,85.8352
2020-08-01,94.9170
2020-09-01,101.2075
2020-10-01,109.7146
2020-11-01,112.3875
2020-12-01,114.0195
2021-01-01,108.0691
2021-02-01,100.3232
2021-03-01,101.0842
2021-04-01,92.9450
2021-05-01,93.4992
2021-06-01,93.2982
2021-07-01,91.2649
2021-08-01,98.0119
2021-09-01,106.2358
2021-10-01,126.8703
2021-11-01,126.4170
